,noun
0,休日
1,穴場
2,備忘録
3,土日
4,祝
5,ランチ
6,アイドル
7,タイム
8,営業
9,真っ
10,只
11,中
12,神宮
13,野球
14,閑散
15,外苑
16,前
17,日本
18,青年
19,館
20,チケット
21,争奪
22,戦
23,戦士
24,土日
25,祝
26,デーゲーム
27,帰り
28,ビール
29,価格
30,据え置き
31,神宮
32,ー
33,ヤクルトスワローズ
34,ファン
35,感謝
36,祭
37,帰り
38,友人
39,秩父宮
40,ラグビー
41,開催
42,店内
43,ガラガラ
44,席
45,スワローズ
46,小学生
47,チーム
48,家族
49,リーズナブル
50,鶏
51,何
52,度
53,利用
54,今回
55,友人
56,オーダー
57,里芋
58,唐
59,揚げ
60,¥
61,里芋
62,好き
63,大
64,好物
65,友人
66,サプライズ
67,誕生
68,パーティー
69,開催
70,個室
71,利用
72,大学
73,ラグビー
74,観戦
75,帰り
76,チェーン
77,店
78,他
79,鳥
80,メロ
81,安定
82,酒
83,料理
84,安定
85,価格
86,提供
87,店
88,一番
89,利点
90,キャパ
91,神宮
92,秩父宮
93,一
94,度
95,人
96,期待
97,送別
98,会
99,テーブル
100,予約
101,コース
102,放題
103,注文
104,白菜
105,サラダ
106,白菜
107,小気味
108,鶏
109,ハム
110,キュッ
111,食
112,感
113,玉ねぎ
114,爽やか
115,赤
116,大根
117,シャッキリ
118,食
119,感
120,メリハリ
121,鶏
122,炭火
123,焼き
124,大皿
125,提供
126,炭火
127,鶏肉
128,手
129,食
130,感
131,鶏肉
132,旨味
133,何
134,出汁
135,卵
136,銘柄
137,卵
138,黄身
139,色
140,味
141,スープ
142,炭
143,用意
144,用意
145,鶏
146,串
147,底
148,方
149,大根
150,出汁
151,上質
152,スープ
153,炭
154,緩やか
155,火
156,鍋
157,半分
158,サイズ
159,親子
160,丼
161,親子
162,丼
163,スープ
164,用意
165,放題
166,価格
167,小銭
168,料理
169,バラエティ
170,飲み物
171,一
172,通り
173,便利
174,結構
175,ボリューム
176,ランチ
177,ラインナップ
178,写真
179,付き
180,メニュー
181,時
182,印刷
183,日替わり
184,メニュー
185,カツ
186,定食
187,キャベツ
188,千切り
189,ドレッシング
190,ポテサラ
191,ミニ
192,トマト
193,ペンネ
194,トマト
195,ソース
196,鶏
197,スープ
198,大根
199,野菜
200,天
201,メイン
202,カツ
203,味
204,カツ
205,チキン
206,カツ
207,同僚
208,皿
209,割り下
210,量
211,個体
212,差
213,三つ葉
214,玉ねぎ
215,キャベツ
216,野菜
217,平日
218,時
219,分
220,店
221,利用
222,人
223,ランチタイム
224,混雑
225,分
226,入
227,店
228,ランチ
229,時
230,前後
231,価格
232,帯
233,米
234,ランチ
235,セット
236,今回
237,日
238,鳥
239,定食
240,注文
241,注文
242,提供
243,分
244,料理
245,熱々
246,作り
247,スピーディー
248,印象
249,感想
250,インパクト
251,印象
252,味
253,想定
254,特段
255,鶏
256,香り
257,印象
258,唯一
259,大根
260,厚
261,揚げ
262,卵
263,提供
264,卵
265,半熟
266,卵
267,味
268,強調
269,ボリューム
270,量
271,他
272,代わり
273,自由
274,オプション
275,全体
276,満足
277,感
278,以外
279,セット
280,鶏
281,鶏
282,カツ
283,風
284,鳥
285,味
286,全体
287,的
288,量
289,質
290,印象
291,青山
292,一
293,丁目
294,駅
295,隣接
296,青山
297,ビルヂング
298,地下
299,飲食
300,店
301,街
302,大幅
303,リニューアル
304,一
305,度
306,足
307,スタバ
