,noun
0,新宿
1,時間
2,オープン
3,店
4,仕事
5,帰り道
6,焼き鳥
7,提灯
8,明かり
9,店
10,発見
11,朝
12,何
13,腹
14,邪魔
15,事
16,メニュー
17,焼き鳥
18,一品
19,料理
20,ラインナップ
21,豊富
22,注文
23,日
24,丁度
25,冷奴
26,茄子
27,揚げ
28,オーダー
29,茄子
30,揚げ
31,好物
32,メニュー
33,必然的
34,提供
35,揚げ
36,茄子
37,揚げ
38,茄子
39,出汁
40,茄子
41,安心
42,焼き鳥
43,壁
44,店
45,焼き
46,串
47,ランキング
48,張り出し
49,参考
50,注文
51,事
52,皮
53,ジューシー
54,脂
55,感
56,レバー
57,臭み
58,舌触り
59,旨み
60,脂
61,一本
62,肉
63,肉
64,旨み
65,内容
66,タレ
67,卵黄
68,組み合わせ
69,抜群
70,明太
71,火入れ
72,明太子
73,個性
74,焼き鳥
75,ランキング
76,明太
77,レバー
78,店
79,部位
80,ハズレ
81,焼き
82,串
83,事
84,全て
85,個性
86,的
87,焼き
88,加減
89,ランキング
90,間違い
91,黒蜜きなこ
92,バニラアイス
93,デザート
94,新宿駅
95,東口
96,信号
97,アルタ
98,方
99,歌舞伎町一番街
100,方
101,歌舞伎町一番街
102,左
103,右側
104,店
105,オープン
106,美
107,桜
108,鶏
109,育成
110,方法
111,飼料
112,鶏
113,健康
114,第一
115,オリジナル
116,ブランド
117,鶏
118,産地
119,山梨県
120,長野県
121,静岡県
122,富士山
123,系
124,南アルプス
125,連峰
126,大自然
127,恵み
128,ストレス
129,健やか
130,上記
131,品
132,他
133,手羽先
134,砂肝
135,メニュー
136,阿波尾鶏
137,ジューシー
138,旨み
139,鶏肉
140,好き
141,ポン酢
142,味
143,阿波尾鶏
144,徳島県
145,ブランド
146,鶏
147,阿波踊り
148,阿波尾鶏
149,料理
150,時間
151,注文
152,際
153,前半
154,オーダー
155,方
156,メニュー
157,レバ刺し
158,新鮮
159,クセ
160,レバー
161,好き
162,オススメ
163,数量限定
164,逸品
165,鶏ガラ
166,鶏ガラスープ
167,マッチ
168,麺
169,好き
170,逸品
171,麺料理
172,一種
173,麺
174,出汁
175,奈良県
176,発祥
177,郷土料理
178,デザート
179,黒蜜
180,アイス
181,黒蜜
182,アイス
183,絶妙
184,メニュー
185,トマト
186,アボカド
187,サラダ
188,トマト
189,アボカド
190,ドレッシング
191,マッチ
192,逸品
193,肉
194,サラダ
195,感じ
196,サラダ
197,オーダー
198,ドリンク
199,生ビール
200,ハイボール
201,何
202,杯
203,生ビール
204,ハイボール
205,飲み過ぎ
206,気
207,営業
208,時間
209,鶏
210,料理
211,好き
212,オススメ
213,店
214,新宿
215,西武新宿線
216,新宿駅
217,近く
218,鳥
219,京
220,平日
221,土日
222,オープン
223,店
224,時間
225,扉
226,オープン
227,雰囲気
228,買い物
229,後
230,焼鳥
231,生ビール
232,季節
233,テーブル席
234,カウンター
235,席
236,テレビ
237,時間帯
238,情報番組
239,野球中継
240,一杯
241,乙
242,一人
243,サマ
244,オーダー
245,店
246,方
247,対面
248,式
249,最近
250,タッチパネル
251,人
252,立川駅
253,菊松
254,食堂
255,価値
256,菊松
257,食堂
258,土曜日
259,オープン
260,同時
261,来店
262,店内
263,程
264,人
265,人気
266,店
267,菊松
268,食堂
269,店内
270,女の子
271,同士
272,年配
273,人
274,若者
275,店
276,証し
277,メニュー
278,本格
279,炭火
280,焼
281,干物
282,種類
283,フライ
284,ステーキ
285,料理
286,写真
287,手
288,料理
289,料理
290,時間
291,店
292,アジ
293,フライ
294,カキフライ
295,唐揚げ
296,本格
297,炭火
298,焼
299,干物
300,〆さば
301,タコ
302,ステーキ
303,卵
304,サラダ
305,アイス
306,白子
307,馬刺し
308,エンガワ
309,ユッケ
310,グラタン
311,コロッケ
312,栃尾
313,揚げ
314,イカ
315,ゴロ
316,焼き
317,モツ煮
318,枝豆
319,全部
320,本格
321,炭火
322,焼
323,干物
324,魚
325,関係
326,料理
327,久しぶり
328,料理
329,手抜き
330,盛り
331,付け
332,食用
333,タンポポ
334,フライ
335,タルタルソース
336,ツナ
337,料理
338,手抜き
339,一切
340,菊松
341,食堂
342,立川
343,ランチ
344,本格
345,炭火
346,焼
347,干物
348,今度
349,ランチ
350,本格
351,炭火
352,焼
353,干物
354,立川駅
355,北口
356,モノレール
357,伊勢丹
358,立川
359,店
360,立川
361,高島屋
362,遊歩道
363,立川
364,ステージ
365,ガーデン
366,ソラノホテル
367,商業施設
368,オフィス
369,等
370,構成
371,複合施設
372,モノレール
373,向かい側
374,建物
375,階
376,位置
377,菊松
378,食堂
379,隣
380,菊松
381,食堂
382,メイン
383,店内
384,週末
385,土曜日
386,天気
387,ランチ
388,オープン
389,テラス
390,店頭
391,メニュー
392,他
393,店舗
394,リーズナブル
395,菊松
396,食堂
397,チョイス
398,広島
399,産
400,大粒
401,カキフライ
402,定食
403,鶏
404,竜田揚げ
405,定食
406,オーダー
407,味
408,普通
409,テラス
410,席
411,陽気
412,愛
413,休日
414,グリーンスプリングス
415,前
416,菊松
417,食堂
418,奥様
419,先日
420,寄り
421,アダムス
422,オーサム
423,パイ
424,今週
425,ハコヅメ
426,店
427,合コン
428,シーン
