,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
0,"['アイドルタイム', 0.19113686158793985]","['チケット', 0.19113686158793985]","['デーゲーム', 0.19113686158793985]","['ビール', 0.07896272098382733]","['ランチ', 0.07896272098382733]","['ー', 0.14154309139581764]","['中', 0.06065913599770028]","['争奪', 0.19113686158793985]","['休日', 0.19113686158793985]","['価格', 0.07534941746368456]","['備忘録', 0.19113686158793985]","['只', 0.19113686158793985]","['営業', 0.14154309139581764]","['土日', 0.3822737231758797]","['外苑前', 0.12855649117594953]","['帰り', 0.11025290618982247]","['戦', 0.19113686158793985]","['戦士', 0.19113686158793985]","['据え置き', 0.19113686158793985]","['日本青年館', 0.19113686158793985]","['真っ', 0.19113686158793985]","['祝', 0.3822737231758797]","['神宮', 0.2830861827916353]","['穴場', 0.19113686158793985]","['野球', 0.15984667638194466]","['閑散', 0.19113686158793985]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"['帰り', 0.13305952544853952]","['¥399', 0.23067491803642048]","['オーダー', 0.07962376342872604]","['ガラガラ', 0.23067491803642048]","['スワローズ', 0.23067491803642048]","['チーム', 0.23067491803642048]","['ファン感謝祭', 0.23067491803642048]","['ヤクルトスワローズ', 0.23067491803642048]","['ラグビー', 0.23067491803642048]","['リーズナブル', 0.15514934073257325]","['今回', 0.08313983418826804]","['何', 0.10003713296603822]","['利用', 0.06746686082037816]","['友人', 0.26611905089707905]","['唐揚げ', 0.13305952544853952]","['大好物', 0.23067491803642048]","['好き', 0.09093599504107464]","['家族', 0.17082231410046314]","['小学生', 0.23067491803642048]","['席', 0.06746686082037816]","['店内', 0.07026132913755896]","['度', 0.13305952544853952]","['秩父宮', 0.19291212938449687]","['里芋', 0.46134983607284097]","['開催', 0.19291212938449687]","['鶏', 0.10522964947230178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"['価格', 0.09275825172229618]","['帰り', 0.1357258910515029]","['神宮', 0.17424540418740495]","['利用', 0.06881882203040778]","['友人', 0.1357258910515029]","['度', 0.1357258910515029]","['秩父宮', 0.19677787491794366]","['開催', 0.19677787491794366]","['キャパ', 0.23529738805384576]","['サプライズ', 0.19677787491794366]","['チェーン店', 0.23529738805384576]","['パーティー', 0.23529738805384576]","['ロ', 0.23529738805384576]","['一', 0.11319342032096417]","['一番', 0.12715944325650852]","['人', 0.11973884864613951]","['他', 0.09720637791560083]","['個室', 0.12715944325650852]","['利点', 0.23529738805384576]","['大学ラグビー', 0.23529738805384576]","['安定', 0.4705947761076915]","['店', 0.02375388056933038]","['提供', 0.11319342032096417]","['料理', 0.05641830855057808]","['期待', 0.1458578483022119]","['観戦', 0.17424540418740495]","['誕生', 0.19677787491794366]","['鳥メ', 0.23529738805384576]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"['価格', 0.054717990077266444]","['何', 0.060194325102193066]","['鶏', 0.126637530343377]","['提供', 0.06677267342723744]","['料理', 0.03328109780129294]","['コース', 0.054717990077266444]","['サイズ', 0.11607905072878276]","['サラダ', 0.07063381435538535]","['シャッキリ', 0.13880166891548149]","['スープ', 0.21190144306615602]","['テーブル', 0.050026885614265194]","['バラエティ', 0.13880166891548149]","['メリハリ', 0.13880166891548149]","['一通り', 0.13880166891548149]","['上質', 0.11607905072878276]","['串', 0.09335643254208405]","['予約', 0.08006455298466075]","['便利', 0.11607905072878276]","['出汁', 0.1867128650841681]","['半分', 0.11607905072878276]","['卵', 0.15002242981403446]","['味', 0.030758175683115445]","['大根', 0.08604138335838721]","['大皿', 0.13880166891548149]","['小気味', 0.13880166891548149]","['小銭', 0.13880166891548149]","['底', 0.13880166891548149]","['手', 0.10278717117135946]","['放題', 0.13880166891548149]","['方', 0.05228859672031851]","['旨味', 0.09335643254208405]","['注文', 0.050026885614265194]","['火', 0.09335643254208405]","['炭', 0.27760333783096297]","['炭火', 0.13880166891548149]","['炭火焼き', 0.13880166891548149]","['爽やか', 0.09335643254208405]","['玉ねぎ', 0.09335643254208405]","['用意', 0.28006929762625216]","['白菜', 0.23215810145756552]","['緩やか', 0.13880166891548149]","['色', 0.13880166891548149]","['親子丼', 0.27760333783096297]","['赤大根', 0.13880166891548149]","['送別会', 0.13880166891548149]","['銘柄', 0.11607905072878276]","['鍋', 0.09335643254208405]","['食感', 0.2401936589539823]","['飲み放題', 0.05228859672031851]","['飲み物', 0.10278717117135946]","['鶏ハム', 0.11607905072878276]","['鶏肉', 0.17208276671677442]","['黄身', 0.13880166891548149]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"['ランチ', 0.08370401316508876]","['鶏', 0.09242859998014127]","['スープ', 0.10310663125573043]","['味', 0.04489877698380539]","['大根', 0.12559759468787324]","['玉ねぎ', 0.13627562596346238]","['カツ', 0.1694446206711943]","['カツ煮', 0.4052272307578526]","['キャベツ', 0.12559759468787324]","['キャベツの千切り', 0.2026136153789263]","['チキンカツ', 0.1694446206711943]","['トマトソース', 0.1694446206711943]","['ドレッシング', 0.15004200258055264]","['ペンネ', 0.2026136153789263]","['ボリューム', 0.09747038978217902]","['ポテサラ', 0.2026136153789263]","['ミニトマト', 0.2026136153789263]","['メイン', 0.09242859998014127]","['メニュー', 0.11851921054481865]","['ラインナップ', 0.1694446206711943]","['三つ葉', 0.2026136153789263]","['付き', 0.1694446206711943]","['個体差', 0.2026136153789263]","['写真', 0.15004200258055264]","['割り下', 0.2026136153789263]","['印刷', 0.2026136153789263]","['同僚', 0.15004200258055264]","['天', 0.2026136153789263]","['定食', 0.1168730078728207]","['日替わり', 0.2026136153789263]","['時', 0.08786774632858518]","['皿', 0.1168730078728207]","['結構', 0.1694446206711943]","['野菜', 0.1674080263301775]","['量', 0.10949647482647237]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"['ランチ', 0.13059049609756354]","['価格', 0.0623073627950355]","['今回', 0.05696560321518086]","['利用', 0.04622682329344632]","['鶏', 0.21630319028796896]","['他', 0.06529524804878177]","['店', 0.015955902865162096]","['提供', 0.1520680559410326]","['料理', 0.03789717845984542]","['卵', 0.25624575981180037]","['味', 0.1050729828614926]","['大根', 0.09797530356519964]","['注文', 0.11393120643036173]","['カツ', 0.1321791885346772]","['ボリューム', 0.0760340279705163]","['定食', 0.09116948818465842]","['時', 0.06854326423628794]","['量', 0.17083050654120024]","['インパクト', 0.15805342867055386]","['オプション', 0.1321791885346772]","['スピーディー', 0.15805342867055386]","['セット', 0.14420212685864597]","['ランチタイム', 0.1321791885346772]","['代わり', 0.1321791885346772]","['以外', 0.11704372832053508]","['作り置き', 0.1321791885346772]","['入店', 0.11704372832053508]","['全体', 0.11704372832053508]","['全体的', 0.1321791885346772]","['前後', 0.15805342867055386]","['半熟', 0.1321791885346772]","['印象', 0.3217228330516955]","['厚揚げ', 0.15805342867055386]","['唯一', 0.1321791885346772]","['帯', 0.15805342867055386]","['平日', 0.08541525327060012]","['強調', 0.15805342867055386]","['想定', 0.15805342867055386]","['感想', 0.1321791885346772]","['日', 0.0760340279705163]","['混雑', 0.15805342867055386]","['満足感', 0.15805342867055386]","['熱々', 0.11704372832053508]","['特段', 0.15805342867055386]","['米', 0.1321791885346772]","['自由', 0.15805342867055386]","['薄め', 0.15805342867055386]","['質', 0.11704372832053508]","['風', 0.11704372832053508]","['香り', 0.10630494839880053]","['鳥', 0.21260989679760106]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"['ランチ', 0.03628076926086799]","['利用', 0.025685555376395188]","['唐揚げ', 0.1013151573293008]","['好き', 0.03462057531554243]","['度', 0.0506575786646504]","['鶏', 0.200311823900888]","['一', 0.042247684283422404]","['他', 0.03628076926086799]","['店', 0.01773153322787841]","['期待', 0.10887834836792001]","['スープ', 0.08938132728419197]","['串', 0.059067473045878394]","['出汁', 0.23626989218351357]","['味', 0.03892196099682401]","['手', 0.06503438806843281]","['鍋', 0.059067473045878394]","['食感', 0.0506575786646504]","['鶏ハム', 0.0734442824496608]","['メイン', 0.0400623647801776]","['定食', 0.0506575786646504]","['オプション', 0.0734442824496608]","['セット', 0.0400623647801776]","['入店', 0.06503438806843281]","['感想', 0.0734442824496608]","['アラ', 0.08782109185344322]","['イケ', 0.08782109185344322]","['イメージ', 0.06503438806843281]","['ウマ', 0.08782109185344322]","['オッサン', 0.08782109185344322]","['カレー', 0.19510316420529844]","['クシ', 0.08782109185344322]","['コラーゲン', 0.08782109185344322]","['コロナ禍', 0.0734442824496608]","['シ', 0.0734442824496608]","['スタバ', 0.08782109185344322]","['ストレート', 0.0734442824496608]","['ソバ', 0.08782109185344322]","['タレ', 0.05443917418396001]","['トロ', 0.0734442824496608]","['ビジュアル', 0.0734442824496608]","['ビルヂング', 0.08782109185344322]","['プラス', 0.06503438806843281]","['ポタ', 0.17564218370688645]","['マニア', 0.08782109185344322]","['ミニ', 0.08782109185344322]","['ラーメン', 0.29533736522939197]","['リニューアル', 0.08782109185344322]","['ワタ', 0.1468885648993216]","['一風', 0.08782109185344322]","['三昧', 0.08782109185344322]","['予定', 0.08782109185344322]","['人差し指', 0.08782109185344322]","['個', 0.1468885648993216]","['前', 0.042247684283422404]","['加減', 0.0734442824496608]","['勝手', 0.08782109185344322]","['半熟玉子', 0.0734442824496608]","['単品', 0.06503438806843281]","['口中', 0.0734442824496608]","['向かい', 0.08782109185344322]","['園', 0.08782109185344322]","['地下', 0.03462057531554243]","['塩ラーメン', 0.08782109185344322]","['塩梅', 0.08782109185344322]","['大幅', 0.08782109185344322]","['屋', 0.1013151573293008]","['当店', 0.2203328473489824]","['待ち', 0.08782109185344322]","['後', 0.042247684283422404]","['意味', 0.08782109185344322]","['担々麺', 0.08782109185344322]","['敬遠', 0.08782109185344322]","['日比谷', 0.08782109185344322]","['昼', 0.06503438806843281]","['昼休み', 0.08782109185344322]","['時間', 0.05443917418396001]","['朝', 0.0734442824496608]","['機会', 0.0734442824496608]","['次', 0.13006877613686563]","['正直', 0.08782109185344322]","['歳', 0.08782109185344322]","['気', 0.033083475806468206]","['池袋西口', 0.08782109185344322]","['満席', 0.04746028521025062]","['焼鳥', 0.08782109185344322]","['物は試し', 0.08782109185344322]","['理由', 0.08782109185344322]","['白濁', 0.08782109185344322]","['的', 0.06616695161293641]","['確か', 0.06503438806843281]","['突入', 0.08782109185344322]","['糸', 0.08782109185344322]","['系', 0.06503438806843281]","['素直', 0.0734442824496608]","['細', 0.0734442824496608]","['縁', 0.08782109185344322]","['繁盛', 0.08782109185344322]","['脂', 0.05443917418396001]","['興味', 0.08782109185344322]","['街', 0.0734442824496608]","['表現', 0.08782109185344322]","['見た目', 0.059067473045878394]","['親子', 0.08782109185344322]","['親指', 0.08782109185344322]","['評価', 0.0734442824496608]","['足', 0.17564218370688645]","['隣接', 0.08782109185344322]","['青山', 0.05443917418396001]","['青山一丁目駅', 0.06503438806843281]","['飲食店', 0.0734442824496608]","['飲食店街', 0.17564218370688645]","['高', 0.0734442824496608]","['麺', 0.059067473045878394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"['利用', 0.042446284489791396]","['店', 0.04395297431581238]","['味', 0.03215995537495787]","['後', 0.06981578555926514]","['的', 0.054671608435727784]","['評価', 0.12136926226916604]","['エリア', 0.12136926226916604]","['サービス料', 0.2902548918557594]","['スタッフ', 0.08996265180721867]","['スルー', 0.1451274459278797]","['チップ', 0.1451274459278797]","['デート', 0.08996265180721867]","['トップ', 0.1451274459278797]","['パーティ', 0.1451274459278797]","['ヒット', 0.12136926226916604]","['フォンダ・デ・ラ・マドゥルガーダ', 0.1451274459278797]","['ムード', 0.1451274459278797]","['メキシコ料理', 0.12136926226916604]","['ランキング', 0.1451274459278797]","['事態', 0.1451274459278797]","['人数', 0.09761107861045241]","['仕事', 0.10747161574357242]","['仲間', 0.08996265180721867]","['会', 0.09761107861045241]","['体重', 0.2902548918557594]","['内', 0.12136926226916604]","['単価', 0.10747161574357242]","['商談', 0.1451274459278797]","['嘘', 0.1451274459278797]","['圏内', 0.1451274459278797]","['増減', 0.1451274459278797]","['変動', 0.1451274459278797]","['夜', 0.08371343208485878]","['居酒屋', 0.0572117194862851]","['損', 0.1451274459278797]","['日曜', 0.12136926226916604]","['日本人', 0.10747161574357242]","['本場', 0.10747161574357242]","['本格', 0.1451274459278797]","['東京', 0.09761107861045241]","['検索', 0.1451274459278797]","['楽観', 0.1451274459278797]","['派', 0.12136926226916604]","['満点', 0.1451274459278797]","['状況下', 0.1451274459278797]","['現在', 0.1451274459278797]","['疲れ', 0.1451274459278797]","['登場', 0.12136926226916604]","['神宮前', 0.10747161574357242]","['累計', 0.1451274459278797]","['翌日', 0.1451274459278797]","['込み', 0.1451274459278797]","['限り', 0.1451274459278797]","['雰囲気', 0.05009471129302514]","['食べログ', 0.21494323148714484]","['食事', 0.06981578555926514]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"['営業', 0.05958333298754707]","['店', 0.008122655414122775]","['料理', 0.019292278500199635]","['誕生', 0.06728832648697901]","['上質', 0.06728832648697901]","['味', 0.017829799214546298]","['爽やか', 0.05411655309991055]","['玉ねぎ', 0.05411655309991055]","['野菜', 0.03323978621341017]","['香り', 0.05411655309991055]","['コロナ禍', 0.06728832648697901]","['地下', 0.03171874647418554]","['的', 0.03031048363656503]","['見た目', 0.05411655309991055]","['夜', 0.04641155960047862]","['本場', 0.11916666597509414]","['神宮前', 0.05958333298754707]","['雰囲気', 0.02777300632577365]","['アボカド', 0.05958333298754707]","['オリーブ', 0.08046009987404747]","['カマロネス・アル・テキーラ', 0.08046009987404747]","['カルド・トラルペニーニョ', 0.08046009987404747]","['ガラス', 0.06728832648697901]","['クリームソース', 0.08046009987404747]","['グアカモーレアボカド', 0.08046009987404747]","['グリル', 0.05411655309991055]","['ゲート', 0.08046009987404747]","['コク', 0.06728832648697901]","['サイン', 0.08046009987404747]","['ジャガイモ', 0.08046009987404747]","['セビチェ', 0.08046009987404747]","['センス', 0.08046009987404747]","['ソース', 0.04987618918712355]","['チキンスープ', 0.08046009987404747]","['テキーラ', 0.16092019974809493]","['ディップ', 0.05958333298754707]","['デザイン', 0.08046009987404747]","['トルティーヤチップス', 0.08046009987404747]","['ヒー', 0.08046009987404747]","['ビアンカ', 0.08046009987404747]","['ビラ', 0.08046009987404747]","['ビンテージ', 0.08046009987404747]","['ピリ辛', 0.05411655309991055]","['プライバシー', 0.08046009987404747]","['マリアッチ', 0.06728832648697901]","['マリネ', 0.06728832648697901]","['メキシコ', 0.13457665297395802]","['ライス', 0.05958333298754707]","['ライム', 0.16092019974809493]","['ワイルド', 0.08046009987404747]","['一人', 0.04987618918712355]","['三角形', 0.08046009987404747]","['下', 0.16092019974809493]","['交互', 0.08046009987404747]","['会話', 0.06728832648697901]","['住戸', 0.08046009987404747]","['全て', 0.1082331061998211]","['内部', 0.08046009987404747]","['再現', 0.06728832648697901]","['到着', 0.05411655309991055]","['到達', 0.06728832648697901]","['刺激', 0.06728832648697901]","['厚', 0.05958333298754707]","['吹き抜け', 0.08046009987404747]","['和', 0.08046009987404747]","['唐辛子', 0.05958333298754707]","['地下空間', 0.08046009987404747]","['型', 0.06728832648697901]","['堀', 0.08046009987404747]","['堀田', 0.08046009987404747]","['場', 0.08046009987404747]","['壁', 0.08046009987404747]","['外観', 0.05958333298754707]","['外部', 0.08046009987404747]","['大', 0.0409447797128421]","['家具', 0.08046009987404747]","['居住', 0.08046009987404747]","['希少', 0.06728832648697901]","['平面', 0.08046009987404747]","['建築', 0.08046009987404747]","['弾力', 0.08046009987404747]","['形', 0.05958333298754707]","['形状', 0.13457665297395802]","['心地', 0.08046009987404747]","['情緒', 0.08046009987404747]","['意匠', 0.08046009987404747]","['感', 0.1101132474001653]","['斜め', 0.08046009987404747]","['斬新', 0.06728832648697901]","['日本', 0.05958333298754707]","['日本語', 0.06728832648697901]","['曲', 0.08046009987404747]","['最下', 0.08046009987404747]","['最後', 0.04348225702363349]","['有名', 0.05958333298754707]","['有機', 0.08046009987404747]","['木組み', 0.08046009987404747]","['柱', 0.06728832648697901]","['構成', 0.06728832648697901]","['氏', 0.08046009987404747]","['洞窟', 0.08046009987404747]","['海老', 0.11916666597509414]","['深み', 0.06728832648697901]","['満載', 0.06728832648697901]","['演出', 0.08046009987404747]","['演奏', 0.08046009987404747]","['片言', 0.08046009987404747]","['状態', 0.05411655309991055]","['独特', 0.05958333298754707]","['生', 0.04641155960047862]","['生演奏', 0.08046009987404747]","['甲羅', 0.08046009987404747]","['異国情緒', 0.06728832648697901]","['白身', 0.08046009987404747]","['白身魚', 0.06728832648697901]","['看板', 0.04987618918712355]","['瞬間', 0.08046009987404747]","['空間', 0.3574999979252825]","['素朴', 0.08046009987404747]","['絶品', 0.06728832648697901]","['美', 0.08046009987404747]","['美味', 0.06728832648697901]","['肉', 0.04348225702363349]","['英二', 0.08046009987404747]","['複雑', 0.16092019974809493]","['設計', 0.08046009987404747]","['謎', 0.08046009987404747]","['貴重', 0.05411655309991055]","['賑やか', 0.05958333298754707]","['贅沢', 0.08046009987404747]","['超', 0.08046009987404747]","['途中', 0.06728832648697901]","['通り', 0.07741313220209337]","['造作', 0.08046009987404747]","['造形', 0.08046009987404747]","['遺跡', 0.08046009987404747]","['部屋', 0.08046009987404747]","['都会', 0.08046009987404747]","['都市', 0.08046009987404747]","['酸味', 0.06728832648697901]","['階', 0.05958333298754707]","['階段', 0.0997523783742471]","['集合住宅', 0.16092019974809493]",,
9,"['ビール', 0.04725676550328296]","['中', 0.036302631542575424]","['オーダー', 0.03948468377118453]","['席', 0.03345618882874968]","['店', 0.03464376272200381]","['料理', 0.08228308165894446]","['テーブル', 0.08245654112169622]","['予約', 0.06598298119608893]","['味', 0.05069699516373577]","['鶏肉', 0.14181724042872323]","['メイン', 0.05218240452155565]","['プラス', 0.0847091968888949]","['気', 0.0861843941057825]","['的', 0.04309219705289125]","['スタッフ', 0.07090862021436162]","['メキシコ料理', 0.09566333084960243]","['人数', 0.07693711515679647]","['日曜', 0.09566333084960243]","['雰囲気', 0.03948468377118453]","['食事', 0.05502884723538139]","['マリアッチ', 0.09566333084960243]","['メキシコ', 0.09566333084960243]","['大', 0.0582108994639905]","['異国情緒', 0.09566333084960243]","['空間', 0.2541275906666847]","['賑やか', 0.0847091968888949]","['途中', 0.09566333084960243]","['通り', 0.05502884723538139]","['⭐', 0.11438954654240842]","['オススメ', 0.06598298119608893]","['オーバー', 0.11438954654240842]","['スパイス', 0.09566333084960243]","['チョコ', 0.11438954654240842]","['チョコソース', 0.11438954654240842]","['チョコレート', 0.11438954654240842]","['チーズ', 0.06181841274569723]","['テカテ', 0.11438954654240842]","['テンション', 0.0847091968888949]","['テーマパーク', 0.11438954654240842]","['デカバコ', 0.11438954654240842]","['トリップ', 0.11438954654240842]","['ドア', 0.19132666169920487]","['ハラペーニョ', 0.11438954654240842]","['フリット', 0.11438954654240842]","['フレンドリー', 0.11438954654240842]","['フロア', 0.19132666169920487]","['ラテン', 0.11438954654240842]","['ワカモーレ', 0.22877909308481684]","['一同', 0.09566333084960243]","['下町', 0.11438954654240842]","['乾杯', 0.07693711515679647]","['供', 0.09566333084960243]","['前面', 0.11438954654240842]","['南米', 0.11438954654240842]","['友達', 0.19132666169920487]","['各々', 0.11438954654240842]","['味つけ', 0.11438954654240842]","['塩', 0.06181841274569723]","['夕方', 0.09566333084960243]","['巨大', 0.11438954654240842]","['席数', 0.09566333084960243]","['年の瀬', 0.11438954654240842]","['庶民', 0.09566333084960243]","['当日', 0.09566333084960243]","['念願', 0.11438954654240842]","['来店', 0.0847091968888949]","['沿い', 0.0847091968888949]","['無事', 0.11438954654240842]","['片手', 0.11438954654240842]","['現地', 0.22877909308481684]","['相談', 0.11438954654240842]","['興味津々', 0.11438954654240842]","['道', 0.09566333084960243]","['邪魔', 0.07090862021436162]","['酒', 0.0847091968888949]","['錯覚', 0.11438954654240842]","['階下', 0.11438954654240842]","['電話', 0.2869899925488073]","['高め', 0.09566333084960243]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
